
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 99, t: 0.0233583, dt: 9.46752e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 100, t: 0.0234533, dt: 9.50605e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 101, t: 0.0235488, dt: 9.54473e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 102, t: 0.0236446, dt: 9.58358e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 103, t: 0.0237409, dt: 9.62258e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 104, t: 0.0238375, dt: 9.66174e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 105, t: 0.0239345, dt: 9.70106e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 106, t: 0.0240319, dt: 9.74054e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 107, t: 0.0241297, dt: 9.78018e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 108, t: 0.0242279, dt: 9.81998e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 109, t: 0.0243265, dt: 9.85995e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 110, t: 0.0244255, dt: 9.90007e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 111, t: 0.0245249, dt: 9.94036e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 112, t: 0.0246247, dt: 9.98082e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 113, t: 0.0247249, dt: 0.000100214, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 114, t: 0.0248255, dt: 0.000100622, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 115, t: 0.0249266, dt: 0.000101032, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 116, t: 0.025028, dt: 0.000101443, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 117, t: 0.0251299, dt: 0.000101856, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 118, t: 0.0252321, dt: 0.00010227, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 119, t: 0.0253348, dt: 0.000102686, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 120, t: 0.0254379, dt: 0.000103104, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 121, t: 0.0255415, dt: 0.000103524, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 122, t: 0.0256454, dt: 0.000103945, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 123, t: 0.0257498, dt: 0.000104368, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 124, t: 0.0258546, dt: 0.000104793, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 125, t: 0.0259598, dt: 0.000105219, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 126, t: 0.0260654, dt: 0.000105648, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 127, t: 0.0261715, dt: 0.000106078, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 128, t: 0.026278, dt: 0.000106509, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 129, t: 0.026385, dt: 0.000106943, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 130, t: 0.0264923, dt: 0.000107378, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 131, t: 0.0266001, dt: 0.000107815, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 132, t: 0.0267084, dt: 0.000108254, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 133, t: 0.0268171, dt: 0.000108694, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 134, t: 0.0269262, dt: 0.000109137, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 135, t: 0.0270358, dt: 0.000109581, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 136, t: 0.0271458, dt: 0.000110027, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 137, t: 0.0272563, dt: 0.000110475, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 138, t: 0.0273672, dt: 0.000110924, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 139, t: 0.0274786, dt: 0.000111376, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 140, t: 0.0275904, dt: 0.000111829, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 141, t: 0.0277027, dt: 0.000112284, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 142, t: 0.0278155, dt: 0.000112741, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 143, t: 0.0279287, dt: 0.0001132, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 144, t: 0.0280423, dt: 0.00011366, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 145, t: 0.0281565, dt: 0.000114123, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 146, t: 0.028271, dt: 0.000114587, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

